科目コード,分野,,科目名,一般/専門,必須/選択,一般,,,,,,留学生,,,,,,,,,,,,,,,,,,,,,,,,
,主,副,,,,情報処理技術学科,情報システム学科,未来創成情報学科,ITメディア学科,"メディア
コミュニケーション・スポーツ学科",ビジネスライセンス学科,情報処理技術学科,情報システム学科,グローバルITメディア学科,"メディア
コミュニケーション・スポーツ学科",天神校,大橋校,共通,一般/留学生,流用可否,シラバス作成担当,状況,実施Q,全コマ数,科目の種類,単位区分,単位数,授業の方法,開講学期,学年,学科・コース,,,,状況,シラバス担当者
列1,列2,列3,科目名,列5,列6,列7,列8,列9,列10,列11,列12,列13,列14,列15,列16,天神校,大橋校,共通,列17,流用可否,シラバス作成担当者,状況,列4,列43,列422,列423,列424,列425,列426,列427,列428,列20,,,未着手,宮本先生（植田）
1,ビジネス,情報社会,情報社会学,一般,選択,1,1,1,1,1,1,0,0,0,0,,,○,,○,,未着手,①,8,,,,,,,,,,,25%,鴨川（植田）
2,ビジネス,プレゼン力,プレゼンテーション,一般,選択,2,2,2,2,2,0,0,0,0,0,,,○,,,,未着手,①②,,,,,,,,,,,,50%,フレミング先生（植田）
3,ビジネス,ビジネス,ビジネスマナー,一般,選択,0,0,0,0,0,0,0,4,0,4,,,○,,,,未着手,,,,,,,,,,,,,75%,植田
4,ビジネス,ライセンス,ビジネス検定Ⅰ,一般,必須,0,0,0,2,2,2,0,0,0,0,,○,,,,宮本先生（植田）,0.5,①②,16,,,,,,,,,,,100%,岡本先生（植田）
5,ビジネス,ライセンス,ビジネス検定Ⅱ,一般,必須,0,0,0,2,2,2,0,0,0,0,,○,,,,宮本先生（植田）,未着手,③④,16,,,,,,,,,,,校正中,内藤先生（植田）
6,ビジネス,ライセンス,簿記検定Ⅰ,一般,選択,0,0,0,0,0,4,0,0,0,0,,○,,,○,,未着手,①②,32,,,,,,,,,,,完成,NDS
7,ビジネス,ライセンス,簿記検定Ⅱ,一般,選択,0,0,0,0,0,4,0,0,0,0,,○,,,○,,未着手,③④,32,,,,,,,,,,,,岡本先生（植田）
8,ビジネス,メディカル,モチベーションマネージメント,一般,選択,0,0,0,0,↓,0,0,0,0,0,,○,,,,フレミング先生（植田）,未着手,①②③④,,,,,,,,,,,,,
9,ビジネス,メディカル,アスリート養成,一般,選択,0,0,0,0,8,0,0,0,0,0,,○,,,,フレミング先生（植田）,未着手,①②③④,,,,,,,,,,,,,
10,ビジネス,メディカル,トレーナー養成,一般,選択,0,0,0,0,8,0,0,0,0,0,,○,,,,フレミング先生（植田）,未着手,①②③④,,,,,,,,,,,,,
11,ビジネス,グローバル,言語知識Ⅰ（N3),一般,必須,0,0,0,0,0,0,2,2,2,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
12,ビジネス,グローバル,言語知識Ⅱ（N3),一般,必須,0,0,0,0,0,0,2,2,2,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
13,ビジネス,グローバル,聴解・読解Ⅰ（N3),一般,選択,0,0,0,0,0,0,2,2,2,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
14,ビジネス,グローバル,聴解・読解Ⅱ（N3),一般,選択,0,0,0,0,0,0,2,2,2,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
15,ビジネス,グローバル,日本語資格対策Ⅰ（中級）,一般,必須,0,0,0,0,0,0,2,2,2,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
16,ビジネス,グローバル,日本語資格対策Ⅱ（中級）,一般,必須,0,0,0,0,0,0,2,2,2,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
17,ビジネス,グローバル,漢字Ⅰ,一般,選択,0,0,0,0,0,0,2,2,2,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
18,ビジネス,グローバル,漢字Ⅱ,一般,選択,0,0,0,0,0,0,2,2,2,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
19,ビジネス,グローバル,言語知識Ⅰ（N2),一般,必須,0,0,0,0,0,0,2,2,2,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
20,ビジネス,グローバル,言語知識Ⅱ（N2),一般,必須,0,0,0,0,0,0,2,2,2,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
21,ビジネス,グローバル,聴解・読解Ⅰ（N2),一般,選択,0,0,0,0,0,0,2,2,2,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
22,ビジネス,グローバル,聴解・読解Ⅱ（N2),一般,選択,0,0,0,0,0,0,2,2,2,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
23,ビジネス,グローバル,日本語資格対策Ⅰ（中上級）,一般,必須,0,0,0,0,0,0,2,2,2,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
24,ビジネス,グローバル,日本語資格対策Ⅱ（中上級）,一般,必須,0,0,0,0,0,0,2,2,2,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
25,ビジネス,グローバル,日本語資格対策Ⅰ（上級）,一般,必須,0,0,0,0,0,0,0,2,0,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
26,ビジネス,グローバル,日本語資格対策Ⅱ（上級）,一般,必須,0,0,0,0,0,0,0,2,0,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
27,ビジネス,グローバル,文章表現,一般,選択,0,0,0,0,0,0,0,4,0,4,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
28,情報技術,コンピュータ活用,コンピュータリテラシー,専門,必須,1,1,1,1,1,1,0,0,0,0,,,○,,,,未着手,①,8,,,,,,,,,,,,
29,情報技術,コンピュータ活用,コンピュータ操作,専門,必須,0,0,0,0,0,0,2,2,2,2,,,○,,,,未着手,,,,,,,,,,,,,,
30,情報技術,コンピュータ活用,パソコン入門,専門,必須,0,0,0,1,1,1,0,0,0,0,,○,,,○,植田,未着手,①,8,専門,必須,1,,,,,,,,,
31,情報技術,コンピュータ活用,パソコン操作,専門,必須,0,0,0,0,0,0,2,2,2,2,,,○,,,,未着手,,,,,,,,,,,,,,
32,情報技術,コンピュータ活用,Word入門,専門,選択,2,2,2,2,2,2,2,2,2,2,,,○,,,,未着手,②,16,,,,,,,,,,,,
33,情報技術,コンピュータ活用,Excel入門,専門,選択,2,2,2,2,2,2,2,2,2,2,,,○,,,,未着手,③,16,,,,,,,,,,,,
34,情報技術,コンピュータ活用,Excel VBA,専門,必須,0,0,0,0,1,0,0,0,0,0,,○,,,,植田,未着手,②,,専門,必須,1,,,,,,,,,
35,情報技術,コンピュータ活用,ビジネスアプリ活用Ⅰ　outlook,専門,必須,0,0,0,0,2,0,0,0,0,0,,○,,,○,植田,未着手,①②,,専門,必須,2,,,,,,,,,
36,情報技術,コンピュータ活用,ビジネスアプリ活用Ⅱ　google,専門,必須,0,0,0,0,2,0,0,0,0,0,,○,,,○,植田,未着手,①②,,専門,必須,2,,,,,,,,,
37,情報技術,プログラミング,プログラミング入門,専門,必須,0,0,0,0,2,0,2,2,2,2,,○,,,,植田,未着手,①,,専門,必須,2,,,,,,,,,
38,情報技術,プログラミング,プログラミング基礎,専門,必須,6,6,6,6,6,0,6,6,6,6,,,○,,,,未着手,,,,,,,,,,,,,,
39,情報技術,プログラミング,JAVA Scriptプログラミング,専門,選択,0,0,0,0,0,0,0,0,0,4,,,○,,,,未着手,,,,,,,,,,,,,,
40,情報技術,プログラミング,JAVAプログラミング,専門,選択,4,4,4,0,0,0,0,4,0,0,○,,,,,,未着手,,,,,,,,,,,,,,
41,情報技術,プログラミング,プログラミング応用,専門,選択,↑,↑,↑,0,0,0,0,0,0,0,○,,,,,,未着手,,,,,,,,,,,,,,
42,情報技術,プログラミング,プログラミング演習,専門,選択,0,0,0,0,0,0,0,4,0,4,,,○,,,,未着手,,,,,,,,,,,,,,
43,情報技術,プログラミング,HTML・CSS,専門,選択,6,6,6,0,6,0,6,6,6,6,,,○,,,,未着手,,,,,,,,,,,,,,
44,情報技術,プログラミング,WebデザインⅠ,専門,選択,2,2,2,2,0,0,0,0,0,0,,,○,,,岡本先生（植田）,未着手,①,,,,,,,,,,,,,
45,情報技術,プログラミング,WebデザインⅡ,専門,選択,0,0,0,2,0,0,0,0,0,0,,○,,,○,岡本先生（植田）,未着手,②,,,,,,,,,,,,,
46,情報技術,プログラミング,WebデザインⅢ,専門,選択,0,0,0,2,0,0,0,0,0,0,,○,,,○,岡本先生（植田）,未着手,③,,,,,,,,,,,,,
47,情報技術,プログラミング,WebデザインⅣ,専門,選択,0,0,0,2,0,0,0,0,0,0,,○,,,○,岡本先生（植田）,未着手,④,,,,,,,,,,,,,
48,情報技術,プログラミング,JavaScript演習,専門,選択,0,0,0,4,↑,0,0,0,0,0,,○,,,,内藤先生（植田）,未着手,①②,,,,,,,,,,,,,
49,情報技術,プログラミング,JavaScript応用,専門,選択,0,0,0,0,↑,0,0,0,0,0,,○,,,,内藤先生（植田）,未着手,③④,,,,,,,,,,,,,
50,情報技術,プログラミング,Unity[C#],専門,選択,0,0,0,0,↑,0,0,0,0,0,,○,,,,内藤先生（植田）,未着手,①②③④,,,,,,,,,,,,,
51,情報技術,プログラミング,システム開発演習,専門,必須,0,0,0,0,0,0,0,8,0,8,,,○,,,,未着手,,,,,,,,,,,,,,
52,情報技術,ライセンス,情報活用Ⅰ,専門,必須,0,0,0,4,4,4,4,4,4,4,,,○,,,,未着手,,,,,,,,,,,,,,
53,情報技術,ライセンス,情報活用Ⅱ,専門,必須,0,0,0,4,4,4,4,4,4,4,,,○,,,,未着手,,,,,,,,,,,,,,
54,情報技術,ライセンス,情報システムⅠ,専門,必須,0,0,0,0,4,0,4,4,4,4,,,○,,,,未着手,,,,,,,,,,,,,,
55,情報技術,ライセンス,情報システムⅡ,専門,必須,0,0,0,0,4,0,4,4,4,4,,,○,,,,未着手,,,,,,,,,,,,,,
56,情報技術,ライセンス,ITP資格対策Ⅰ,専門,必須,4,4,4,4,4,0,0,4,0,4,,,○,,,,未着手,,,,,,,,,,,,,,
57,情報技術,ライセンス,ITP資格対策Ⅱ,専門,必須,4,4,4,4,4,0,0,4,0,4,,,○,,,,未着手,,,,,,,,,,,,,,
58,情報技術,ライセンス,FE資格対策Ⅰ,専門,必須,4,4,4,0,0,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
59,情報技術,ライセンス,FE資格対策Ⅱ,専門,必須,4,4,4,0,0,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
60,情報技術,ライセンス,AP資格対策Ⅰ,専門,選択,0,4,4,0,0,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
61,情報技術,ライセンス,AP資格対策Ⅱ,専門,選択,0,4,4,0,0,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
62,情報技術,ライセンス,高度資格対策Ⅰ,専門,選択,0,0,4,0,0,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
63,情報技術,ライセンス,高度資格対策Ⅱ,専門,選択,0,0,4,0,0,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
64,情報技術,ライセンス,Word MOS,専門,選択,0,0,0,2,2,2,0,0,0,0,,○,,,○,植田,未着手,③④,16,専門,選択,22,,,,,,,,,
65,情報技術,ライセンス,Excel MOS,専門,選択,0,0,0,2,2,2,0,0,0,0,,○,,,○,植田,未着手,④,16,専門,選択,2,,,,,,,,,
66,開発技術,論理的思考,アルゴリズムⅠ,専門,必須,2,2,2,2,2,0,2,2,2,2,,,○,,,,未着手,,,,,,,,,,,,,,
67,開発技術,論理的思考,アルゴリズムⅡ,専門,選択,2,2,2,2,2,0,2,2,2,2,,,○,,,,未着手,,,,,,,,,,,,,,
68,開発技術,ＯＳ技術,LINUX概論,専門,必須,2,2,2,0,↑,0,2,2,2,2,,,○,,,,未着手,,,,,,,,,,,,,,
69,開発技術,ネットワーク技術,ネットワーク概論,専門,必須,0,0,0,0,↑,0,2,2,2,2,,,○,,,,未着手,,,,,,,,,,,,,,
70,開発技術,ネットワーク技術,情報ネットワーク演習,専門,必須,0,0,0,1,1,0,0,0,0,0,,○,,,,植田,未着手,①,,専門,必須,1,,,,,,,,,
71,開発技術,データベース技術,データベース入門,専門,必須,0,0,0,0,1,0,0,0,0,0,,○,,,,植田,未着手,①,,専門,必須,1,,,,,,,,,
72,開発技術,データベース技術,データベース概論,専門,必須,2,2,2,0,0,0,2,2,2,2,,,○,,,,未着手,,,,,,,,,,,,,,
73,開発技術,メディア技術,メディアコミュニケーション概論,専門,必須,0,0,0,1,1,0,0,0,0,0,,○,,,,植田,未着手,②,,専門,必須,1,,,,,,,,,
74,開発技術,開発手法,システムデザイン演習★,専門,選択,1,1,0,0,0,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
75,科学技術,データサイエンス,データサイエンス概論,専門,選択,0,0,0,0,↑,0,0,0,0,0,,○,,,,植田,未着手,①,,専門,必須,1,,,,,,,,,
76,科学技術,データサイエンス,データサイエンス入門Ⅰ,専門,選択,1,1,1,0,↑,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
77,科学技術,データサイエンス,データサイエンス入門Ⅱ,専門,選択,1,1,1,0,↑,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
78,科学技術,データサイエンス,データサイエンス入門Ⅲ,専門,選択,1,1,1,0,↑,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
79,科学技術,データサイエンス,AI数学基礎,専門,選択,1,1,1,0,↑,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
80,科学技術,データサイエンス,AI数学演習Ⅰ,専門,選択,1,1,1,0,↑,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
81,科学技術,データサイエンス,AI数学演習Ⅱ,専門,選択,1,1,1,0,↑,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
82,科学技術,データサイエンス,AI数学演習Ⅲ,専門,選択,1,1,1,0,↑,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
83,科学技術,データサイエンス,データサイエンス演習Ⅰ,専門,選択,0,1,1,0,↑,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
84,科学技術,データサイエンス,データサイエンス演習Ⅱ,専門,選択,0,1,1,0,↑,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
85,科学技術,データサイエンス,データマイニングⅠ,専門,選択,0,1,1,0,0,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
86,科学技術,データサイエンス,データマイニングⅡ,専門,選択,0,1,1,0,0,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
87,技術応用,ビックデータ,ビックデータ入門,専門,必須,1,1,1,0,0,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
88,技術応用,ロボット,ロボット工学基礎,専門,必須,1,1,1,0,0,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
89,技術応用,ロボット,ロボット回路,専門,選必,3,3,3,0,0,0,0,0,0,0,○,,,,,,未着手,,,,,,,,,,,,,,
90,技術応用,ロボット,ロボットプログラミング,専門,選必,3,3,3,0,0,0,0,0,0,0,○,,,,,,未着手,,,,,,,,,,,,,,
91,技術応用,ロボット,ロボット演習Ⅰ,専門,選必,3,3,3,0,0,0,0,0,0,0,○,,,,,,未着手,,,,,,,,,,,,,,
92,技術応用,ロボット,ロボット演習Ⅱ,専門,選必,3,3,3,0,0,0,0,0,0,0,○,,,,,,未着手,,,,,,,,,,,,,,
93,技術応用,ロボット,ロボット制作ゼミ,専門,選必,0,16,16,0,0,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
94,技術応用,AI,人口知能概論,専門,必須,1,1,1,0,0,0,0,0,0,0,○,,,,,,未着手,,,,,,,,,,,,,,
95,技術応用,AI,機械学習基礎,専門,選必,↑,↑,↑,0,0,0,0,0,0,0,○,,,,,,未着手,,,,,,,,,,,,,,
96,技術応用,AI,機械学習アルゴリズム,専門,選必,↑,↑,↑,0,0,0,0,0,0,0,○,,,,,,未着手,,,,,,,,,,,,,,
97,技術応用,AI,機械学習プログラミング,専門,選必,↑,↑,↑,0,0,0,0,0,0,0,○,,,,,,未着手,,,,,,,,,,,,,,
98,技術応用,AI,機械学習演習,専門,選必,↑,↑,↑,0,0,0,0,0,0,0,○,,,,,,未着手,,,,,,,,,,,,,,
99,技術応用,AI,AI制作ゼミ,専門,選必,0,↑,↑,0,0,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
100,技術応用,AI,AI概論★,専門,選択,0,0,0,1,1,0,0,0,0,0,,○,,,,NDS,未着手,,,,,,,,,,企業実習,,,,
101,技術応用,ブロックチェーン,ブロックチェーン概論,専門,必須,1,1,1,0,0,0,0,0,0,0,○,,,,,,未着手,,,,,,,,,,,,,,
102,技術応用,研究,未来創成研究ゼミ,専門,必須,0,0,16,0,0,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
103,技術応用,研究,講究,専門,必須,1,1,1,0,0,0,0,0,0,0,○,,,,,,未着手,,,,,,,,,,,,,,
104,技術応用,映像,映像メディア入門,専門,選択,0,0,0,1,0,0,0,0,0,0,,○,,,,NDS,未着手,①②,,,,,,,,,,,,,
105,技術応用,映像,映像メディア演習,専門,選択,0,0,0,1,0,0,0,0,0,0,,○,,,,NDS,未着手,③④,,,,,,,,,,,,,
106,技術応用,RPA,RPA演習,専門,選必,0,0,0,2,0,0,0,0,0,0,,○,,,,,未着手,,,,,,,,,,,,,,
107,技術応用,Webデザイン,Webデザイン演習,専門,選必,0,0,0,8,0,0,0,0,0,0,,○,,,,岡本先生,未着手,①②,,,,,,,,,,,,,
108,技術応用,Webデザイン,Webデザイン実習,専門,選必,0,0,0,8,0,0,0,0,0,0,,○,,,,岡本先生,未着手,③④,,,,,,,,,,,,,
109,技術応用,AI演習,AI,専門,選必,0,0,0,0,8,0,0,0,0,0,,○,,,,,未着手,,,,,,,,,,,,,,
110,技術応用,AI実習,AI,専門,選必,0,0,0,0,8,0,0,0,0,0,,○,,,,,未着手,,,,,,,,,,,,,,
111,技術応用,Webフロント,ホームページ制作演習,専門,選必,0,0,0,0,↑,0,0,0,0,0,,○,,,,植田,未着手,①②,8,専門,必須,1,,,,,,,,,
112,技術応用,Webフロント,ホームページ制作実習,専門,選必,0,0,0,0,↑,0,0,0,0,0,,○,,,,植田,未着手,③④,8,専門,必須,1,,,,,,,,,
113,キャリア,就職支援,キャリアプランⅠ,一般,必須,1,1,1,1,1,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
114,キャリア,就職支援,キャリアプランⅡ,一般,必須,4,4,4,4,4,4,4,4,4,4,,,○,,,,未着手,,4,,,,,,,,,,,,
115,キャリア,就職支援,キャリアプランⅢ,一般,必須,0,0,0,0,0,0,0,4,0,4,,,○,,,,未着手,,,,,,,,,,,,,,
116,学生生活,学生支援,ロングホームルーム(1年),一般,必須,2,2,2,2,2,2,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
117,学生生活,学生支援,ロングホームルーム(2年),一般,必須,2,2,2,2,2,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
118,学生生活,学生支援,ロングホームルーム(3年),一般,必須,0,2,2,0,2,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
119,学生生活,学生支援,ロングホームルーム(4年),一般,必須,0,0,2,0,0,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
120,学生生活,特別活動,クラブ活動(1年),一般,選択,2,2,2,2,0,2,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
121,学生生活,特別活動,クラブ活動(2年),一般,選択,0,2,2,0,0,0,0,0,0,0,,,○,,,,未着手,,,,,,,,,,,,,,
122,学生生活,特別活動,スポーツ教育学基礎演習,一般,選択,0,0,0,0,10,0,0,0,0,0,,○,,,,,未着手,①②③④,,,,,,,,,,,,,
123,学生生活,特別活動,eスポーツ教育学基礎演習,一般,選択,0,0,0,0,↑,0,0,0,0,0,,○,,,,,未着手,①②③④,,,,,,,,,,,,,
124,学生生活,特別活動,スポーツ教育学実践演習,一般,選択,0,0,0,0,10,0,0,0,0,0,,○,,,,,未着手,①②③④,,,,,,,,,,,,,
125,学生生活,特別活動,eスポーツ教育学実践演習,一般,選択,0,0,0,0,↑,0,0,0,0,0,,○,,,,,未着手,①②③④,,,,,,,,,,,,,
126,学生生活,特別活動,スポーツ教育学応用演習,一般,選択,0,0,0,0,5,0,0,0,0,0,,○,,,,,未着手,①②③④,5,,,,,,,,,,,,
127,学生生活,特別活動,eスポーツ教育学応用演習,一般,選択,0,0,0,0,↑,0,0,0,0,0,,○,,,,,未着手,①②③④,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,
